Country	Region	Happiness score	Log (GDP Per Capita)	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption
Cameroon	Sub-Saharan Africa	5.0848999023438	8.1186475753784	0.7003864049912	52.704940795898	0.7630518078804	-0.001496450393	0.8513365983963
Venezuela	Latin America and Caribbean	5.0531997680664	8.9777936935425	0.8904081583023	66.505340576172	0.6232783198357	-0.169090509415	0.837038397789
Algeria	Middle East and North Africa	5.005099773407	9.5379648208618	0.8033851385117	65.905174255371	0.4666109085083	-0.121105164289	0.7354851365089
Senegal	Sub-Saharan Africa	4.980800151825	8.1189823150635	0.7236160039902	59.599151611328	0.6905961632729	-0.052335154265	0.8087851405144
Guinea	Sub-Saharan Africa	4.9492998123169	7.7509903907776	0.6375734806061	54.467800140381	0.7068467736244	0.076328471303	0.7617944478989
Niger	Sub-Saharan Africa	4.9095997810364	6.8421669006348	0.6174350380898	53.500095367432	0.7597721219063	0.0138608170673	0.7225301861763
Laos	Southeast Asia	4.8885998725891	8.7985801696777	0.7375022172928	58.709922790527	0.9072135686874	0.1113714799285	0.6346793174744
Albania	Central and Eastern Europe	4.8826999664307	9.4179306030273	0.6710704565048	68.708137512207	0.7819942235947	-0.042309489101	0.8963037133217
Cambodia	Southeast Asia	4.8484001159668	8.2498903274536	0.7730806469917	61.529968261719	0.9597046375275	0.0519111789763	0.8227690458298
Bangladesh	South Asia	4.832799911499	8.2870635986328	0.6872929930687	64.503067016602	0.9006249904633	-0.033664725721	0.6618435382843
Gabon	Sub-Saharan Africa	4.8292999267578	9.6805372238159	0.7878868579865	59.715339660645	0.7048292160034	-0.222261622548	0.849150955677
South Africa	Sub-Saharan Africa	4.8140997886658	9.4033708572388	0.8525322675705	56.506011962891	0.7593300938606	-0.109777323902	0.8434238433838
Iraq	Middle East and North Africa	4.7848000526428	9.6610956192017	0.7476949691772	59.903549194336	0.6331826448441	-0.069564759731	0.8222618103027
Lebanon	Middle East and North Africa	4.7715001106262	9.3617238998413	0.8243381381035	67.106582641602	0.5513575077057	-0.061215270311	0.9022562503815
Burkina Faso	Sub-Saharan Africa	4.7687001228333	7.468544960022	0.7129436135292	53.88945388794	0.665563583374	-0.019080515951	0.7397950291634
Gambia	Sub-Saharan Africa	4.750599861145	7.3218145370483	0.6931686997414	55.012016296387	0.7331631779671	0.3431987166405	0.6907178163528
Mali	Sub-Saharan Africa	4.7293000221252	7.6298522949219	0.731468975544	51.726982116699	0.7115661501884	-0.044366925955	0.8393284082413
Nigeria	Sub-Saharan Africa	4.724100112915	8.5766248703003	0.7372168898582	49.861907958984	0.7595784068108	0.0337458066642	0.8618743419647
Armenia	Commonwealth of Independent States	4.6767997741699	9.1004762649536	0.757479429245	66.75065612793	0.7120178341866	-0.138779610395	0.7735447883606
Georgia	Commonwealth of Independent States	4.6725997924805	9.2261009216309	0.6290330290794	64.495208740234	0.801641523838	-0.22892037034	0.6659446954727
Iran	Middle East and North Africa	4.6723999977112	9.8137197494507	0.6946896910667	66.006149291992	0.6478732824326	0.1178911030293	0.7146359682083
Jordan	Middle East and North Africa	4.6333999633789	9.0259990692139	0.8021637201309	66.799751281738	0.7510477900505	-0.162565201521	0.7003443241119
Mozambique	Sub-Saharan Africa	4.6236000061035	7.0693459510803	0.7238740324974	54.205821990967	0.8644518852234	0.0323758684099	0.6830191016197
Kenya	Sub-Saharan Africa	4.5830001831055	8.0297756195068	0.7026520371437	60.09693145752	0.8297475576401	0.2946815192699	0.8314991593361
Namibia	Sub-Saharan Africa	4.5711002349854	9.2031412124634	0.8468809723854	56.501487731934	0.7675209641457	-0.185306459665	0.8514497876167
Ukraine	Commonwealth of Independent States	4.5606999397278	9.0106906890869	0.8788793683052	64.606781005859	0.6630818843842	-0.03093370609	0.9206367135048
Liberia	Sub-Saharan Africa	4.5578999519348	7.0543804168701	0.7092805504799	56.096313476563	0.7352687120438	0.0422732196748	0.8563759326935
Palestinian Territories	Middle East and North Africa	4.5528001785278	8.3892230987549	0.8252959251404	62.25	0.6457918286324	-0.16207909584	0.8241999745369
Uganda	Sub-Saharan Africa	4.4320001602173	7.5003895759583	0.7649946212769	55.708202362061	0.731713950634	0.0994874313474	0.8367378115654
Chad	Sub-Saharan Africa	4.4226999282837	7.4679636955261	0.6323880553246	48.220539093018	0.5873052477837	0.0178347192705	0.8027608394623
Tunisia	Middle East and North Africa	4.3921999931336	9.3149728775024	0.6887185573578	66.897857666016	0.59336155653	-0.216413810849	0.8675902485847
Mauritania	Sub-Saharan Africa	4.3745999336243	8.2339191436768	0.7908192276955	57.010177612305	0.5515225529671	-0.106008142233	0.7462235093117
Sri Lanka	South Asia	4.3270001411438	9.3899698257446	0.8253740668297	67.200065612793	0.8376336693764	0.0811296179891	0.8590017557144
Congo (Kinshasa)	Sub-Saharan Africa	4.3109998703003	6.6942563056946	0.6721590161324	52.900001525879	0.7007935643196	0.0836376547813	0.8094035983086
Swaziland	Sub-Saharan Africa	4.3081002235413	9.1626739501953	0.7702901959419	51.188236236572	0.6468222737312	-0.19920141995	0.7082633376122
Myanmar	Southeast Asia	4.308000087738	8.6804819107056	0.7844070196152	58.961711883545	0.8950752019882	0.560663998127	0.6451243162155
Comoros	Sub-Saharan Africa	4.2885999679565	7.8336300849915	0.625662446022	57.349010467529	0.5476126074791	0.0900084078312	0.7806226015091
Togo	Sub-Saharan Africa	4.1872000694275	7.357711315155	0.5513126254082	54.719898223877	0.6498286128044	0.0026678745635	0.757733464241
Ethiopia	Sub-Saharan Africa	4.1862001419067	7.5093855857849	0.743307352066	58.639591217041	0.7407951951027	0.0433773323894	0.7536900043488
Madagascar	Sub-Saharan Africa	4.1655998229981	7.2816858291626	0.6681959033012	59.10542678833	0.5575740933418	-0.011823639274	0.8174856305122
Egypt	Middle East and North Africa	4.1514000892639	9.3165416717529	0.7354478240013	61.780151367188	0.7083541750908	-0.196878314018	0.7877268791199
Sierra Leone	Sub-Saharan Africa	3.9263999462128	7.2688031196594	0.6361420154572	50.865142822266	0.7153150439262	0.0886607468128	0.8613306879997
Burundi	Sub-Saharan Africa	3.7753000259399	6.4926424026489	0.4903257191181	53.400001525879	0.6263502240181	-0.017551597208	0.6069345474243
Zambia	Sub-Saharan Africa	3.7593998908997	8.2247200012207	0.6988244652748	55.299377441406	0.8065002560616	0.0780371278524	0.8012896776199
Haiti	Latin America and Caribbean	3.7207999229431	7.4113292694092	0.5932478308678	55.598625183106	0.5378251671791	0.4005345702171	0.6847672462463
Lesotho	Sub-Saharan Africa	3.6528000831604	7.960488319397	0.7804957032204	48.003623962402	0.7381258606911	-0.145732045174	0.8573920726776
India	South Asia	3.5732998847961	8.8498239517212	0.5922009348869	60.215187072754	0.8814448714256	0.0575516074896	0.7720426917076
Malawi	Sub-Saharan Africa	3.5380001068115	7.0622262954712	0.5440073013306	57.592887878418	0.8032231926918	0.0214332789183	0.7317007780075
Yemen	Middle East and North Africa	3.5274000167847	7.7596826553345	0.8179805874825	56.727283477783	0.5999202728271	-0.157735437155	0.8002877235413
Botswana	Sub-Saharan Africa	3.4788999557495	9.7112035751343	0.7791217565537	58.924453735352	0.8213281035423	-0.250394493341	0.7779309153557
Tanzania	Sub-Saharan Africa	3.4762001037598	7.9676651954651	0.6889331936836	57.496074676514	0.8215397596359	0.109668686986	0.6197994351387
Central African Republic	Sub-Saharan Africa	3.4758999347687	6.6251602172852	0.3194598555565	45.20000076294	0.6408806443214	0.0824103578925	0.8918066620827
Rwanda	Sub-Saharan Africa	3.3122999668121	7.6001043319702	0.5408354401588	61.098846435547	0.9005894064903	0.0554839521647	0.1835411787033
Zimbabwe	Sub-Saharan Africa	3.2992000579834	7.8657116889954	0.7630927562714	55.617259979248	0.7114579081535	-0.072063952684	0.8102369904518
South Sudan	Sub-Saharan Africa	2.8166000843048	7.4253597259522	0.5537071228027	51	0.4513136148453	0.016518548131	0.7634173035622
Afghanistan	South Asia	2.5669000148773	7.462860584259	0.4703669548035	52.590000152588	0.3965730071068	-0.096429400146	0.9336865544319
